CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECION,CP,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,COMUN
5316,PEÑAFLOR DE GRADO,43.4029267,-6.0453921,"Ctra. N-634 - Estación Ferrocarril, S/N",33829,GRADO,ASTURIAS,ESPAÑA,SI,SI,
5317,GRADO,43.3945424,-6.0637254,"C/ Jove y Valdes, S/N",33828,GRADO,ASTURIAS,ESPAÑA,SI,SI,
5319,SANDICHE,43.4256226,-6.0599341,"Ctra. As-237 - Estación Ferrocarril, S/N",33829,CANDAMO,ASTURIAS,ESPAÑA,SI,SI,
5320,ACES,43.4399142,-6.0657983,"Ctra. Cd -2 - Estación Ferrocarril, S/N",33828,CANDAMO,ASTURIAS,ESPAÑA,SI,SI,
5321,SAN ROMÁN,43.4488839,-6.0771641,Ctra. General Nº 9- San Roman de Candamo,0,CANDAMO,ASTURIAS,ESPAÑA,SI,SI,
5323,BEIFAR,43.4701379,-6.0988707,"Ctra. As -236 --- Estación Ferrocarril, S/N",33129,PRAVIA,ASTURIAS,ESPAÑA,SI,SI,
5325,PRAVIA,43.4908983,-6.1105373,C/ Suarez Pazos S/N-Pravia,33120,PRAVIA,ASTURIAS,ESPAÑA,SI,SI,
5327,SAN RANÓN,43.5164547,-6.0820305,"Ctra. A-8 - Estación Ferrocarril, S/N",33129,PRAVIA,ASTURIAS,ESPAÑA,SI,SI,
5329,SAN ESTEBAN,43.552094,-6.0872393,C/ Casto Plasencia S/N- San Esteban de Pravia,33130,MUROS DE NALÓN,ASTURIAS,ESPAÑA,SI,SI,
5351,PALOMAR,43.309911,-5.912549,,,RIBERA DE ARRIBA,ASTURIAS,ESPAÑA,NO,SI,
5353,SOTO DE RIBERA,,,,,RIBERA DE ARRIBA,ASTURIAS,ESPAÑA,NO,SI,
5355,PARTEAYER,43.28332,-5.87513,,,MORCÍN,ASTURIAS,ESPAÑA,NO,SI,
5361,BAIÑA,43.2744717,-5.8282902,"C/ Cuesta Peñule --- Estación Ferrocarril, S/N",33682,MIERES,ASTURIAS,ESPAÑA,SI,SI,
5369,MIERES VASCO,43.2502968,-5.7801106,C/ Rio Eo S/N -Mieres,33600,MIERES,ASTURIAS,ESPAÑA,SI,SI,
5371,CAUDALIA,43.2282154,-5.782774,"Avda. del Camino, S/N --- Junto Hospital Alvarez Buylla",33619,MIERES,ASTURIAS,ESPAÑA,SI,SI,
5373,FIGAREDO,43.2138398,-5.7840362,"Ctra. General, S/N",33683,ALLER,ASTURIAS,ESPAÑA,SI,SI,
5375,UJO TARUELO,43.2006229,-5.7878612,Ctra. General S/N ujo-Taruelo (Mieres),33612,MIERES,ASTURIAS,ESPAÑA,SI,SI,
5376,SANTA CRUZ,43.1959703,-5.7775447,"C/ Jose Garcia Lorenzo - Estación Ferrocarril, S/N",33612,MIERES,ASTURIAS,ESPAÑA,SI,SI,
5377,CABORANA,43.1761169,-5.7548626,"Avda. de Aller, S/N",33684,ALLER,ASTURIAS,ESPAÑA,SI,SI,
5379,MOREDA DE ALLER,43.1707918,-5.7419622,C/ la Estación S/N - Moreda,33670,ALLER,ASTURIAS,ESPAÑA,SI,SI,
